Forename,Count
Emilie,1365
Toni,1361
Stuart,1359
Lily-Mae,1350
Isha,1350
Anastasia,1349
Amanda,1345
Jorja,1344
Harris,1341
Ahmad,1340
Frances,1335
Isobelle,1332
Rayan,1331
Aoife,1329
Malaika,1329
Leona,1328
Stacey,1326
Carter,1324
Kaden,1316
Khadijah,1313
Kamil,1306
Ana,1301
Lauryn,1301
Lyla,1297
Katrina,1296
Noor,1295
Constance,1295
Renee,1293
Arron,1292
LAURENCE,1287
Barnaby,1283
Deborah,1283
Hafsah,1281
Andre,1281
Kaci,1280
Bonnie,1280
Aysha,1279
Weronika,1278
Melanie,1275
Tanisha,1273
Jak,1270
Hazel,1268
Keiran,1267
Ian,1266
Brian,1255
Kyran,1250
Kasey,1240
Ronan,1240
Zakariya,1239
Antony,1237
Andrea,1236
Tanya,1231
Khalid,1227
Teagan,1227
Billie,1227
Demi-Leigh,1225
Wesley,1219
Rhea,1219
Miriam,1216
Yasmine,1215
Calvin,1214
Jan,1213
Lilia,1212
Cain,1209
Tony,1205
Tiegan,1203
Daniela,1202
Freddy,1201
ANGELINA,1200
Sandra,1193
Leonardo,1190
Tianna,1186
Aminah,1181
Verity,1179
Marc,1178
MILEY,1177
Nicolas,1177
Jaydon,1176
Raphael,1175
Antonio,1171
Guy,1171
Mae,1171
Haider,1169
Maggie,1168
Reggie,1167
Kiara,1165
Preston,1165
Sally,1163
Phoenix,1160
Syeda,1159
Siobhan,1157
Musa,1156
Kelsie,1154
Lorna,1152
Martyna,1145
Lia,1141
Stella,1141
Angela,1141
Haleema,1140
Rocco,1140
Lena,1139
Marcel,1138
Abi,1135
Carmen,1130
Emelia,1125
Lily-May,1123
Farhan,1123
Jensen,1119
Anisha,1118
Saif,1117
Amna,1114
Fabian,1112
Kia,1109
Roxanne,1105
Teigan,1105
Chanel,1101
Fletcher,1100
Millicent,1098
Junaid,1097
Jed,1097
Sadia,1096
MELODY,1091
Fern,1091
Codie,1090
Kallum,1090
Nevaeh,1088
RAFAEL,1087
Arran,1086
Keaton,1084
Rayyan,1083
Jazmin,1082
Meghan,1078
Zachariah,1075
IVAN,1075
Imran,1075
Yahya,1074
Zane,1074
Damien,1072
Bartosz,1069
Karina,1069
Rihanna,1066
Hermione,1066
Sahil,1065
Haroon,1063
Autumn,1062
Edie,1061
Jordon,1060
Sonia,1057
Samira,1056
Milan,1055
Kacie,1051
Precious,1049
Isa,1048
Jada,1044
Asha,1042
